Thread ID,Epoch,Step,Reward
0,21,11,[1.53700909 0.93148759]
0,21,12,[0.12319878 0.21112657]
0,21,13,[0.13822449 0.19592356]
0,21,14,[1.38684691 0.56761264]
0,21,15,[1.09697672 0.62386671]
0,21,16,[1.65030862 1.29698782]
0,21,17,[1.39951634 1.399677  ]
0,21,18,[0.6290437  1.14860561]
0,21,19,[1.1588288  1.35301569]
0,21,20,[0.74059581 0.71512391]
0,21,21,[0.58967891 1.34938267]
0,21,22,[0.26604087 0.12693328]
0,21,23,[0. 0.]
0,21,24,[0.77950823 0.85436022]
0,22,1,[0.97653512 1.04735936]
0,22,2,[0.82281886 1.47969598]
0,22,3,[0. 0.]
0,22,4,[0.2363761  0.25995502]
0,22,5,[0.84806796 0.63687081]
0,22,6,[0.47539523 0.79337392]
0,22,7,[0.6867636 1.3957881]
0,22,8,[1.01877541 1.18371174]
0,22,9,[0.87960428 1.63743391]
0,22,10,[1.14880499 1.20813957]
0,22,11,[1.16814809 0.85592249]
0,22,12,[1.62163181 0.80772628]
0,22,13,[1.0137085  1.24203501]
0,22,14,[0.83211056 0.66142827]
0,22,15,[1.63320064 0.74027452]
0,22,16,[1.13086973 0.74276024]
0,22,17,[1.20146205 0.48796585]
0,22,18,[0.87654578 0.85702014]
0,22,19,[1.53412131 1.12332529]
0,22,20,[0. 0.]
0,22,21,[0.64213588 1.21184392]
0,22,22,[1.14184446 0.95477649]
0,22,23,[1.51165189 1.55755015]
0,22,24,[0.18843543 0.17886668]
0,22,25,[1.49221259 1.10188241]
0,22,26,[0.91883188 1.09471352]
0,22,27,[1.06727645 0.63473235]
0,22,28,[0.68933793 1.00925626]
0,22,29,[0.19461498 0.26993379]
0,22,30,[0.15298028 0.24282651]
0,22,31,[1.71739532 1.23917454]
0,22,32,[0.23642855 0.20532678]
0,22,33,[0.33468628 0.24607794]
0,22,34,[0.22729124 0.16956554]
0,22,35,[0.94931063 0.88471781]
0,22,36,[1.14805107 0.96250957]
0,22,37,[0.13996264 0.14933977]
0,22,38,[0.86731478 0.67381314]
0,22,39,[0.74054651 0.70649404]
0,22,40,[0.85770553 1.31351551]
0,22,41,[1.1619228 1.1865582]
0,22,42,[0.18576609 0.32910314]
0,22,43,[1.7190162  0.65481974]
0,22,44,[1.01598621 0.96748671]
0,23,1,[0.97475355 0.86115728]
0,23,2,[0.93331355 1.4729589 ]
0,23,3,[0. 0.]
0,23,4,[0.95368278 1.08513436]
0,23,5,[0.91646129 0.77436601]
0,23,6,[0. 0.]
0,23,7,[0. 0.]
0,23,8,[0.74539497 0.90736582]
0,23,9,[1.61173018 0.78044095]
0,23,10,[0. 0.]
0,23,11,[0.80155191 0.8470237 ]
0,23,12,[1.41840686 1.07620373]
0,23,13,[1.60132231 0.64385156]
0,23,14,[0.63856286 0.84232332]
0,24,1,[0.23748498 0.29532344]
0,24,2,[0.32699666 0.1491082 ]
0,24,3,[0.60037924 0.73683316]
0,25,1,[0.25871703 0.21809425]
0,26,1,[0. 0.]
0,26,2,[0. 0.]
0,26,3,[0.70719932 1.76032072]
0,26,4,[0. 0.]
0,26,5,[1.42222118 0.99985468]
0,26,6,[0.86334663 0.61226223]
0,26,7,[0.79717907 1.32084405]
0,26,8,[1.39230139 0.54382032]
0,26,9,[0.77281206 1.48472249]
0,26,10,[1.42238437 1.43209895]
0,26,11,[0.90486555 1.5906829 ]
0,26,12,[0.71712531 0.67744024]
0,26,13,[0.61991183 1.1949095 ]
0,26,14,[0.83994681 1.12112286]
0,26,15,[1.02223863 0.88041274]
0,26,16,[0.74797707 1.57352632]
0,26,17,[1.31803678 0.8389852 ]
0,26,18,[0.75466087 1.13444763]
0,26,19,[0.54296712 1.27168613]
0,26,20,[1.27852196 0.63403548]
0,26,21,[0.57283782 1.1996026 ]
0,26,22,[0. 0.]
0,26,23,[0. 0.]
0,26,24,[0. 0.]
0,26,25,[0. 0.]
0,26,26,[0. 0.]
0,26,27,[0. 0.]
0,26,28,[0.75702083 0.70355537]
0,26,29,[1.8531261  0.77619862]
0,26,30,[0. 0.]
0,26,31,[0. 0.]
0,26,32,[0.90413018 0.81367275]
0,26,33,[1.02431533 0.99218864]
0,26,34,[1.20251713 1.29476462]
0,26,35,[1.1070579  1.04364939]
0,26,36,[0.87276391 0.74062534]
0,26,37,[0.71454057 0.8475167 ]
0,26,38,[0.8722368 0.7882825]
0,26,39,[1.14387072 0.58273628]
0,26,40,[1.12941148 0.82324268]
0,26,41,[0. 0.]
0,26,42,[0.73553746 0.71349557]
0,26,43,[1.00734532 1.6923326 ]
0,26,44,[0. 0.]
0,26,45,[0.54449137 0.68107222]
0,27,1,[1.14318382 0.79400186]
0,27,2,[1.08224746 0.81212452]
0,27,3,[0. 0.]
0,27,4,[1.31381276 1.11689016]
0,27,5,[1.31342586 0.96926099]
