Episode,Step,State,Action,Reward,Penalty,Energy Efficiency
45,0,"[[7.0, 0.0, 1.0, 0.0, 592.5925925925926, 0.0, 214.0, 0.0]]",0,-30.802574464900463,32.0,1.197425535099536
46,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",4,-13.666765335794256,26.0,2.3332346642057424
46,1,"[[3.0, 24.0, 1.0, 1.0, 695.6521739130435, 363.6363636363636, 206.0, 248.0]]",5,-9.607545433632389,22.0,2.39245456636761
46,2,"[[3.0, 22.0, 1.0, 1.0, 695.6521739130435, 380.95238095238096, 206.0, 244.0]]",4,-5.543380775979724,18.0,2.456619224020277
46,3,"[[3.0, 20.0, 1.0, 1.0, 695.6521739130435, 400.0, 206.0, 240.0]]",1,3.0735953337763284,19.5,2.573595333776329
46,4,"[[2.0, 19.0, 1.0, 1.0, 727.2727272727273, 410.2564102564102, 204.0, 238.0]]",1,-6.770931833143816,29.5,2.729068166856185
46,5,"[[2.0, 15.0, 1.0, 1.0, 727.2727272727273, 457.14285714285717, 204.0, 230.0]]",3,5.563983488132095,6.5,2.0639834881320946
47,0,"[[1.0, 0.0, 1.0, 0.0, 761.9047619047619, 0.0, 202.0, 0.0]]",0,2.7321428571428577,9.5,2.232142857142857
47,1,"[[12.0, 0.0, 1.0, 0.0, 500.0, 0.0, 224.0, 0.0]]",5,-2.8544973544973544,15.5,2.6455026455026456
47,2,"[[8.0, 0.0, 1.0, 0.0, 571.4285714285714, 0.0, 216.0, 0.0]]",5,-5.597242380261248,18.5,2.9027576197387517
47,3,"[[6.0, 0.0, 1.0, 0.0, 615.3846153846154, 0.0, 212.0, 0.0]]",4,-25.42755652985832,49.0,3.57244347014168
48,0,"[[1.0, 3.0, 1.0, 1.0, 761.9047619047619, 695.6521739130435, 202.0, 206.0]]",3,-8.294871794871796,21.5,3.2051282051282053
48,1,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",5,-8.11665195645778,21.5,3.3833480435422185
49,0,"[[4.0, 0.0, 1.0, 0.0, 666.6666666666667, 0.0, 208.0, 0.0]]",5,-5.363548350962539,18.5,3.136451649037461
50,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",0,-1.0580747362167973,14.0,2.9419252637832027
51,0,"[[3.0, 0.0, 1.0, 0.0, 695.6521739130435, 0.0, 206.0, 0.0]]",2,6.272826302238067,6.5,2.772826302238067
51,1,"[[14.0, 0.0, 1.0, 0.0, 470.5882352941176, 0.0, 228.0, 0.0]]",4,-6.812810117034189,29.5,2.687189882965809
51,2,"[[3.0, 14.0, 1.0, 1.0, 695.6521739130435, 470.5882352941176, 206.0, 228.0]]",3,7.73930549159907,5,2.7393054915990698
51,3,"[[17.0, 0.0, 1.0, 0.0, 432.4324324324324, 0.0, 234.0, 0.0]]",1,2.6098303610265337,10,2.609830361026533
51,4,"[[18.0, 0.0, 1.0, 0.0, 421.0526315789474, 0.0, 236.0, 0.0]]",4,8.887002387002386,13.5,2.387002387002387
51,5,"[[6.0, 16.0, 1.0, 1.0, 615.3846153846154, 444.44444444444446, 212.0, 232.0]]",0,-16.533724340175954,18.0,1.466275659824047
52,0,"[[0.0, 17.0, 0.0, 1.0, 0.0, 432.4324324324324, 0.0, 234.0]]",1,11.662301721773087,10.5,2.1623017217730873
52,1,"[[8.0, 19.0, 1.0, 1.0, 571.4285714285714, 410.2564102564102, 216.0, 238.0]]",5,14.592951677439212,7.5,2.092951677439212
52,2,"[[10.0, 18.0, 1.0, 1.0, 533.3333333333334, 421.0526315789474, 220.0, 236.0]]",2,-4.457745466051115,16.5,2.042254533948886
