Thread ID,Epoch,Step,Reward
0,2,15,[-10.37685706 -10.53644497]
0,2,16,[-10.19441115 -10.30139844]
0,2,17,[-9.72905263 -9.88089344]
0,2,18,[-9.69223248 -9.80318079]
0,2,19,[-9.60081611 -9.55673542]
0,2,20,[-10.19478312 -10.21072555]
0,2,21,[-9.42234374 -9.45798768]
0,2,22,[0.54796636 0.51731985]
0,2,23,[0.12850371 0.18956263]
0,2,24,[0.6723798  0.54787386]
0,2,25,[0.56980639 0.36569591]
0,2,26,[-10.48385614 -10.54921119]
0,2,27,[-9.7277537  -9.50837526]
0,2,28,[-9.70474468 -9.80345361]
0,2,29,[0.29123756 0.15247646]
0,2,30,[-9.72769709 -9.88045937]
0,2,31,[-9.61719236 -9.26822706]
0,2,32,[-9.71693257 -9.6156236 ]
0,3,1,[-9.40278918 -9.33553038]
0,3,2,[-10.66036956 -10.70355091]
0,3,3,[-9.71308118 -9.47732301]
0,3,4,[0.93812661 0.39549306]
0,3,5,[0.17564089 0.2583121 ]
0,3,6,[-10.53322387 -10.65289652]
0,3,7,[0.70402636 0.81069733]
0,3,8,[0.3638211  0.64693512]
0,3,9,[0.28478965 0.29995648]
0,3,10,[-9.71409525 -9.34363477]
0,3,11,[-9.0679488 -9.680067 ]
0,3,12,[-9.35046385 -9.48069042]
0,3,13,[-9.60006614 -9.57653297]
0,3,14,[-9.66578259 -9.67513805]
0,4,1,[-10.47249254 -10.40113468]
0,5,1,[-9.13691801 -9.69860316]
0,5,2,[-9.67901852 -9.11753139]
0,5,3,[0.43554541 0.33684923]
0,5,4,[-10.21221606 -10.18268849]
0,5,5,[0.71545059 0.79117971]
0,5,6,[-9.5578707  -9.51688965]
0,5,7,[-9.40746389 -9.73900864]
0,5,8,[-9.43323302 -9.53645994]
0,5,9,[0.50300963 0.43732657]
0,5,10,[0.52455338 0.47083939]
0,5,11,[-10.25166436 -10.25716666]
0,5,12,[-9.40623388 -9.54606569]
0,5,13,[-9.66444073 -9.27696877]
0,5,14,[0.67238133 0.40517873]
0,5,15,[-9.47483423 -9.45330238]
0,5,16,[0.25298021 0.26582533]
0,5,17,[-9.8090437 -9.7536198]
0,5,18,[0.47411628 0.367943  ]
0,5,19,[-9.42475755 -9.43306347]
0,5,20,[-9.72187862 -9.68831328]
0,6,1,[-10.39075861 -10.17070711]
0,6,2,[-9.33657383 -9.50885648]
0,6,3,[-10.33960292 -10.41846806]
0,6,4,[-9.52894892 -9.56111825]
0,6,5,[-10.24995814 -10.40818955]
0,6,6,[-9.22151725 -9.43203755]
0,6,7,[0.26795782 0.28734594]
0,6,8,[-9.33241245 -9.62854811]
0,6,9,[0.4898187  0.69798243]
0,6,10,[-9.56463955 -9.51247978]
0,7,1,[-9.42216463 -9.55817305]
0,7,2,[-9.42904243 -9.5146498 ]
0,7,3,[-10.45191526 -10.44868415]
0,7,4,[-9.46482964 -9.71731215]
