Episode,Step,State,Action,Reward,Penalty,Penalty Reasons,Energy Efficiency
2301,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2302,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2303,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2304,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2305,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2306,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2307,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2308,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2309,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
2310,0,"[[25.0, 0.0, 1.0, 0.0, 355.55555555555554, 0.0, 250.0, 0.0]]",1,0,513.75,"['SBS 0 overloaded with 25 UEs', 'SBS 1 turned off, overloading others with 25 UEs', 'Not enough SBSs active for 25 UEs', 'Only one SBS active with 25 UEs. Load not distributed.']",1.4222222222222223
